Name;Device ID;Scheduled Time;Issued Time;Response Time;Duration (minutes);Location;[2_VAS] Please use the following 3 items to indicate how you feel right now;[3_VAS] ;[4_VAS] ;[6_VAS] How stressed do you feel right now?;[8_VAS] At the moment I feel like I am able to control my own behavior as I wish;[9_VAS] Right now I feel competent in what I am doing ;[10_VAS] Right now I feel like there are people around me who care about me and support me;[11_SAQ] Since the last prompt have there been events that caused any changes in your emotional state?;[33_VAS] Time since the event in minutes (apporximately);[13_VAS] Please use the following 3 items to indicate how you felt during the event;[14_VAS] ;[34_VAS] ;[20_VAS] How stressed did you feel during the event?;"[17_VAS] During the event I felt like I myself was able to control my behavior in a way that I think is for the best;  my behavior was not controlled by someone else";[18_VAS] During the event I felt competent in what I was doing ;[19_VAS] During the event I felt like there were people around me who care about me and support me;[21_VAS] Did you try to control your emotions in any of the following ways?I ruminated over the subject matter;[22_VAS] I distracted myself from the subject matter;[23_VAS] I tried to look at the subject matter from a new perspective;[24_VAS] Suppressed the outward expression of my emotions;[35_VAS] Talked to others about your emotions;[26_VAS] Accepted my emotions the way they are;[27_VAS] I took action to try to change the situation causing my emotions;[28_VAS] I thought hard about what to do about the situation causing my emotions;[29_VAS] I sought help and advice from other people;[30_VAS] I used some substances (e.g. alcohol or tobacco) to make myself feel better;[31_VAS] I gave up trying to cope with the situation ;[32_FFT] Optional: describe the event in a few words
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-26 10:49:50 EET;2019-11-26 10:49:50 EET;2019-11-26 11:05:41 EET;950.563;Unknown;https://ethicadata.com/media/survey_media/900/image/4valence.png;https://ethicadata.com/media/survey_media/900/image/3arous.png;https://ethicadata.com/media/survey_media/900/image/4dominance.png;60;85;80;89;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-26 12:18:04 EET;2019-11-26 12:18:04 EET;2019-11-26 13:16:41 EET;3517.375;Unknown;https://ethicadata.com/media/survey_media/900/image/4valence.png;https://ethicadata.com/media/survey_media/900/image/3arous.png;https://ethicadata.com/media/survey_media/900/image/4dominance.png;80;90;91;100;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-26 15:12:14 EET;2019-11-26 15:12:14 EET;2019-11-26 15:50:43 EET;2308.394;Unknown;https://ethicadata.com/media/survey_media/900/image/4valence.png;;;;71;75;;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-26 18:43:39 EET;2019-11-26 18:43:39 EET;2019-11-26 18:45:10 EET;91.494;Unknown;https://ethicadata.com/media/survey_media/900/image/3valence2.png;;;;65;70;100;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-26 20:46:17 EET;2019-11-26 20:46:17 EET;2019-11-26 20:58:20 EET;723.473;Unknown;https://ethicadata.com/media/survey_media/900/image/5valence2.png;;;;65;70;;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-27 11:24:16 EET;2019-11-27 11:24:16 EET;2019-11-27 11:27:45 EET;208.917;Unknown;https://ethicadata.com/media/survey_media/900/image/3valence2.png;;;;60;70;100;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-27 11:43:19 EET;2019-11-27 11:43:19 EET;2019-11-27 11:43:42 EET;22.876;Unknown;;;;;60;70;;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-27 16:23:08 EET;2019-11-27 16:23:08 EET;2019-11-27 16:26:15 EET;186.722;Unknown;https://ethicadata.com/media/survey_media/900/image/4valence.png;;;;71;75;100;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-27 18:41:44 EET;2019-11-27 18:41:44 EET;2019-11-27 19:24:51 EET;2587.463;Unknown;https://ethicadata.com/media/survey_media/900/image/5valence2.png;;;;80;65;100;(ID 1) Yes;46;https://ethicadata.com/media/survey_media/900/image/5valence2.png;https://ethicadata.com/media/survey_media/900/image/4arous.png;https://ethicadata.com/media/survey_media/900/image/4dominance.png;25;;;;20;;25;;50;85;10;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-27 19:43:07 EET;2019-11-27 19:43:07 EET;2019-11-27 19:43:52 EET;44.942;Unknown;https://ethicadata.com/media/survey_media/900/image/4valence.png;;;;75;65;100;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-28 10:45:37 EET;2019-11-28 10:45:37 EET;2019-11-28 11:17:38 EET;1921.342;Unknown;https://ethicadata.com/media/survey_media/900/image/5valence2.png;;;;80;75;100;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-28 13:04:04 EET;2019-11-28 13:04:04 EET;2019-11-28 13:06:37 EET;152.592;Unknown;https://ethicadata.com/media/survey_media/900/image/4valence.png;;;;80;80;;(ID 1) Yes;60;;https://ethicadata.com/media/survey_media/900/image/2arous.png;;;60;35;70;70;40;;50;;70;40;50;;;50;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-28 16:14:05 EET;2019-11-28 16:14:05 EET;2019-11-28 16:14:38 EET;33.712;Unknown;;;;;65;70;85;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-28 18:55:45 EET;2019-11-28 18:55:45 EET;2019-11-28 19:51:53 EET;3368.475;Unknown;https://ethicadata.com/media/survey_media/900/image/4valence.png;;;;70;61;84;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-28 20:48:53 EET;2019-11-28 20:48:53 EET;2019-11-28 21:12:28 EET;1415.013;Unknown;https://ethicadata.com/media/survey_media/900/image/4valence.png;;;;80;73;100;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19350;6154190E842E42DDBB64784B61E54D41;2019-11-29 10:51:23 EET;2019-11-29 10:51:23 EET;2019-11-29 11:05:56 EET;873.27;Unknown;https://ethicadata.com/media/survey_media/900/image/5valence2.png;;;;90;80;100;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-26 09:19:49 EET;2019-11-26 09:19:49 EET;2019-11-26 09:50:05 EET;1816.277;Unknown;3;1;4;12;76;77;90;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-26 13:17:56 EET;2019-11-26 13:17:56 EET;2019-11-26 14:04:44 EET;2807.902;Unknown;3;;;;;100;78;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-26 16:18:15 EET;2019-11-26 17:40:11 EET;2019-11-26 17:40:30 EET;4934.989;Unknown;3;;;;79;76;82;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-26 19:32:01 EET;2019-11-26 19:33:37 EET;2019-11-26 19:33:37 EET;Blocked;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-26 18:15:01 EET;2019-11-26 19:33:37 EET;2019-11-26 19:35:03 EET;4801.617;Unknown;4;;;;84;82;81;(ID 1) Yes;31;;;;;77;79;;;;;;;100;;;;;;I went for a swim
User #19427;f99f6e8e32c9ff5d;2019-11-27 10:40:31 EET;2019-11-27 11:06:22 EET;2019-11-27 11:42:41 EET;3729.534;Unknown;3;;;;79;78;83;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-27 13:06:11 EET;2019-11-27 13:06:11 EET;2019-11-27 14:32:15 EET;5163.552;Unknown;3;;;;77;75;77;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-27 15:32:32 EET;2019-11-27 15:32:32 EET;2019-11-27 16:39:34 EET;4022.437;Unknown;3;;;;79;80;80;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-27 19:17:14 EET;2019-11-27 19:17:14 EET;2019-11-27 20:47:14 EET;Expired;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-27 20:00:00 EET;2019-11-27 20:00:00 EET;2019-11-27 21:30:00 EET;Expired;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-28 11:10:07 EET;2019-11-28 11:10:07 EET;2019-11-28 11:29:36 EET;1168.795;Unknown;3;;;;80;83;83;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-28 13:02:15 EET;2019-11-28 13:17:47 EET;2019-11-28 13:17:58 EET;943.116;Unknown;3;;;;77;78;83;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-28 16:22:15 EET;2019-11-28 16:22:15 EET;2019-11-28 16:43:15 EET;1259.513;Unknown;3;;;;79;78;85;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-28 17:19:55 EET;2019-11-28 17:19:55 EET;2019-11-28 18:49:55 EET;Expired;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-28 20:30:53 EET;2019-11-28 20:30:53 EET;2019-11-28 22:00:53 EET;Expired;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-29 09:53:44 EET;2019-11-29 09:53:44 EET;2019-11-29 11:23:44 EET;Expired;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;
User #19427;f99f6e8e32c9ff5d;2019-11-29 12:41:23 EET;2019-11-29 13:09:37 EET;2019-11-29 13:09:55 EET;1712.21;Unknown;3;;;;79;82;78;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19436;97f7c6434a9ca0e8;2019-11-26 10:09:40 EET;2019-11-26 10:09:40 EET;2019-11-26 11:39:40 EET;Expired;Unknown;2;2;2;14;53;42;88;;;;;;;;;;;;;;;;;;;;;
User #19436;97f7c6434a9ca0e8;2019-11-26 12:39:19 EET;2019-11-26 12:39:19 EET;2019-11-26 13:04:03 EET;1484.277;Unknown;2;2;2;30;40;46;75;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19436;97f7c6434a9ca0e8;2019-11-26 16:06:02 EET;2019-11-26 16:06:59 EET;2019-11-26 16:28:49 EET;1366.49;Unknown;4;3;3;18;70;90;92;(ID 1) Yes;28;4;4;3;48;87;90;53;17;13;51;27;54;74;16;34;22;3;24;decided on my master thesis with professor 
User #19436;97f7c6434a9ca0e8;2019-11-26 17:39:48 EET;2019-11-26 17:39:48 EET;2019-11-26 17:40:25 EET;37.624;Unknown;2;1;3;26;70;64;58;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19436;97f7c6434a9ca0e8;2019-11-26 19:59:49 EET;2019-11-26 19:59:49 EET;2019-11-26 20:02:06 EET;137.303;Unknown;;1;3;21;;63;63;(ID 2) No;;;;;;;;;;;;;;;;;;;;
User #19436;97f7c6434a9ca0e8;2019-11-27 09:02:45 EET;2019-11-27 09:02:45 EET;2019-11-27 10:32:45 EET;Expired;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;
